buyer_id,date,hour,spend
12,5/28/18,21,$7.74 
12,5/28/18,22,$7.61 
12,5/28/18,23,$6.87 
12,5/29/18,0,$6.29 
12,5/29/18,1,$6.67 
12,5/29/18,2,$6.08 
12,5/29/18,3,$5.23 
12,5/29/18,4,$4.06 
12,5/29/18,5,$3.09 
12,5/29/18,6,$1.94 
12,5/29/18,7,$1.25 
12,5/29/18,8,$0.77 
12,5/29/18,9,$1.10 
12,5/29/18,10,$1.94 
12,5/29/18,11,$2.85 
12,5/29/18,12,$4.32 
12,5/29/18,13,$6.20 
12,5/29/18,14,$7.03 
12,5/29/18,15,$7.59 
13,5/17/18,14,$4.05 
13,5/17/18,15,$4.62 
13,5/17/18,16,$5.05 
13,5/17/18,17,$4.85 
13,5/17/18,18,$5.10 
13,5/17/18,19,$5.56 
13,5/17/18,20,$6.32 
13,5/17/18,21,$6.17 
13,5/17/18,22,$15.07 
13,5/17/18,23,$76.80 
13,5/18/18,0,$5.19 
13,5/18/18,1,$8.22 
13,5/18/18,2,$10.48 
13,5/18/18,3,$9.15 
13,5/18/18,4,$4.18 
13,5/18/18,5,$3.16 
13,5/18/18,6,$2.38 
13,5/18/18,7,$1.78 
13,5/18/18,8,$1.76 
13,5/18/18,9,$1.91 
13,5/18/18,10,$2.36 
13,5/18/18,11,$2.89 
13,5/18/18,12,$3.76 
13,5/18/18,13,$4.25 
13,5/18/18,14,$4.40 
13,5/18/18,15,$4.83 
13,5/18/18,16,$5.95 
13,5/18/18,17,$5.17 
13,5/18/18,18,$5.26 
13,5/18/18,19,$5.13 
13,5/18/18,20,$5.23 
13,5/18/18,21,$5.42 
13,5/18/18,22,$17.91 
13,5/18/18,23,$90.77 
13,5/19/18,0,$4.95 
13,5/19/18,1,$6.33 
13,5/19/18,2,$6.66 
13,5/19/18,3,$6.51 
13,5/19/18,4,$3.89 
13,5/19/18,5,$3.36 
13,5/19/18,6,$2.67 
13,5/19/18,7,$2.15 
13,5/19/18,8,$1.99 
13,5/19/18,9,$1.89 
13,5/19/18,10,$2.01 
13,5/19/18,11,$3.06 
13,5/19/18,12,$4.26 
13,5/19/18,13,$5.42 
13,5/19/18,14,$6.70 
13,5/19/18,15,$6.86 
13,5/19/18,16,$6.34 
13,5/19/18,17,$6.33 
13,5/19/18,18,$6.35 
